ﾍﾞｰｽﾊﾞﾝR,1900,673160,1-3-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1700,673160,1-4B-1,1,1
ﾍﾞｰｽﾊﾞﾝL,1800,673160,1-2A-1,1,3
ﾍﾞｰｽﾊﾞﾝL,1800,673160,1-2B-1,2,3
ﾍﾞｰｽﾊﾞﾝL,1800,673160,1-2B-1,3,3
ﾍﾞｰｽﾊﾞﾝL,1700,673160,1-4C-1,1,2
ﾍﾞｰｽﾊﾞﾝL,1700,673160,1-4D-1,2,2
ﾍﾞｰｽﾊﾞﾝR,2400,673161,1-8A-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1800,673161,1-7A-1,1,3
ﾍﾞｰｽﾊﾞﾝR,1800,673161,1-7A-1,2,3
ﾍﾞｰｽﾊﾞﾝR,1800,673161,1-7A-1,3,3
ﾍﾞｰｽﾊﾞﾝL,2400,673161,1-8B-1,1,1
ﾍﾞｰｽﾊﾞﾝL,1800,673161,1-7B-1,1,1
ﾍﾞｰｽﾊﾞﾝR,2200,673162,1-16B-1,1,2
ﾍﾞｰｽﾊﾞﾝR,2200,673162,1-16C-1,2,2
ﾍﾞｰｽﾊﾞﾝR,1800,673162,1-17A-1,1,3
ﾍﾞｰｽﾊﾞﾝR,1800,673162,1-17C-1,2,3
ﾍﾞｰｽﾊﾞﾝR,1800,673162,1-17D-1,3,3
ﾍﾞｰｽﾊﾞﾝL,2200,673162,1-16A-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1800,673168,1-2D1-1,1,3
ﾍﾞｰｽﾊﾞﾝR,1800,673168,1-2D2-1,2,3
ﾍﾞｰｽﾊﾞﾝR,1800,673168,1-2E2-1,3,3
ﾍﾞｰｽﾊﾞﾝL,1800,673168,1-2A-1,1,2
ﾍﾞｰｽﾊﾞﾝL,1800,673168,1-2E1-1,2,2
ﾍﾞｰｽﾊﾞﾝL,1700,673168,1-4A-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1800,673170,1-17A-1,1,1
ﾍﾞｰｽﾊﾞﾝL,1800,673170,1-17B-1,1,1
EXﾍﾞｰｽﾊﾞﾝ-R,1617,673172,1-5B-1,1,1
LGSﾍﾞｰｽﾊﾞﾝ(65)R,1700,673175,1-18A-1,1,1
LGSﾍﾞｰｽﾊﾞﾝ(65)L,1698,673176,1-18B-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1940,673280,1-3-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1840,673280,1-1-1,1,1
ﾍﾞｰｽﾊﾞﾝL,1940,673280,1-7A-1,1,1
ﾍﾞｰｽﾊﾞﾝR,1940,673281,1-2-1,1,1
EXﾍﾞｰｽﾊﾞﾝ-R,1712,673625,1-9-2,1,1
EXﾍﾞｰｽﾊﾞﾝ-L,1562,673626,1-3-4,1,1
EXﾍﾞｰｽﾊﾞﾝ-L,1712,673627,1-9-1,1,1
